,Address,Property Type,Price,Beds,Bath,Square Feet,Brokerages,Borough,Zipcode,Neighborhood,Longitude,Latitude
4393,"12 W 18th St Apt 4ENew York, NY 10011",House ,2695000.0,2,2.0,1750.0, Corcoran,Manhattan,10011.0,Chelsea,-73.9929549,40.7388719
4394,"3625 Oxford Ave Apt 2BBronx, NY 10463",Condo ,585000.0,2,2.0,988.0, Douglas Elliman ,Bronx,10463.0,Riverdale,-73.908722,40.8870567
4395,"59-20 Xenia StCorona, NY 11368",Multi-family home ,1598000.0,8,5.0,2184.207862, E Realty International Corp,Queens,11368.0,West Queens,-73.8549421,40.7375448
4396,"11 E 36th St Ste 404Manhattan, NY 10016",Condo ,848880.0,1,1.0,713.0, COMPASS,Manhattan,10016.0,Gramercy Park,-73.9825832,40.7496366
4397,"13839 Jewel Ave Apt 3AFlushing, NY 11367",Co-op ,268000.0,1,1.0,750.0, Avenue & Street Realty Inc,Queens,11367.0,Central Queens,-73.8272075,40.7295527
4398,"1280 Fifth Ave Apt 17BNew York, NY 10029",Condo ,3700000.0,3,3.0,1756.0, Corcoran,Manhattan,10029.0,East Harlem,-73.949116,40.7961886
4399,"218 W 103rd St Unit 4FNew York, NY 10025",Condo ,1125000.0,1,1.0,743.0," Toll Brothers, Inc",Manhattan,10025.0,Upper East Side,-73.962094,40.7961762
4400,"1750 E 14th St Apt 6BBrooklyn, NY 11229",Pending,329000.0,2,2.0,1200.0, PEERLESS PROPERTIES CORP.,Brooklyn,11229.0,South Brooklyn,-73.9592184,40.6068155
4401,"25-21 Humphrey StEast Elmhurst, NY 11369",House ,799000.0,3,2.0,2184.207862, Keller Williams,Queens,11369.0,West Queens,-73.8683353,40.7645407
4402,"8903 Ridge BlvdBrooklyn, NY 11209",House ,1380000.0,4,2.0,2520.0, Momentum Real Estate Llc,Brooklyn,11209.0,Southwest Brooklyn,-74.0343844,40.6217919
4403,"325 E 41st St Apt 601New York, NY 10017",Co-op ,990000.0,2,2.0,2184.207862, Sotheby's International Realty ,Manhattan,10017.0,Gramercy Park,-73.9719957,40.7490288
4404,"116-10 14th RdCollege Point, NY 11356",Multi-family home ,2499000.0,18,12.0,2520.0, E Realty International Corp,Queens,11356.0,North Queens,-73.8508657,40.7845143
4405,"42 Saint Marks Pl Apt 1Brooklyn, NY 11217",Condo ,2395000.0,4,3.0,2155.0, Keller Williams,Brooklyn,11217.0,Northwest Brooklyn,-73.9811684,40.6820512
4406,"3333 Henry Hudson Pkwy Apt 20NBronx, NY 10463",Co-op ,600000.0,2,2.0,2184.207862, Brown Harris Stevens,Bronx,10463.0,Riverdale,-73.9143965,40.8855625
4407,"2500 Johnson Ave Apt 14HBronx, NY 10463",Co-op ,745000.0,3,2.0,2184.207862, Elegran LLC,Bronx,10463.0,Riverdale,-73.9177034,40.876794
4408,"126 E 86th St # 16ANew York, NY 10028",Condo ,8525000.0,4,4.0,2863.0, Corcoran,Manhattan,10028.0,Upper East Side,-73.9561419,40.7794854
4409,"7550 Amboy RdStaten Island, NY 10307",Multi-family home ,1229000.0,6,5.0,2816.0, Master Associates Inc.,Staten Island,10307.0,South Shore,-74.2470232,40.5086315
4410,"201 E 28th St Unit 7KNew York, NY 10016",Co-op ,799000.0,1,1.0,950.0, Nardoni Realty Inc.,Manhattan,10016.0,Gramercy Park,-73.980516,40.7419819
4411,"26 Roe StStaten Island, NY 10310",Contingent,625000.0,4,2.0,1650.0, Keller Williams,Staten Island,10310.0,Port Richmond,-74.122092,40.6333731
4412,"1103 Bushwick AveBrooklyn, NY 11221",Townhouse ,1225000.0,4,4.0,1821.0, Oxford Property Group,Brooklyn,11221.0,Williamsburg,-73.9187569,40.6901415
4413,"63-89 Saunders St Unit 6KRego Park, NY 11374",Co-op ,299000.0,1,1.0,2184.207862, Keller Williams,Queens,11374.0,West Central Queens,-73.8619839,40.7291666
4414,"1100 Clove Rd Apt 2KStaten Island, NY 10301",Condo ,240000.0,1,1.0,800.0," Tom Crimmins Realty, Ltd.",Staten Island,10301.0,Stapleton,-74.1071576,40.6189484
4415,"5615 Netherland Ave Apt 4EBronx, NY 10471",Co-op ,165000.0,1,1.0,750.0, Julia B. Fee Sotheby's International Realty,Bronx,10471.0,Riverdale,-73.9066105,40.904655
4416,"147-57 76th RdFlushing, NY 11367",Multi-family home ,1285000.0,4,2.0,2184.207862, Astor Brokerage Ltd,Queens,11367.0,Central Queens,-73.8154612,40.7234054
4417,"17 W 54th St Apt 10FNew York, NY 10019",Co-op ,765000.0,1,2.0,1000.0, Corcoran,Manhattan,10019.0,Chelsea,-73.9766275,40.7617971
4418,"1505 Archer Rd Apt 2DBronx, NY 10462",Condo ,309000.0,2,1.0,862.0, Accord Homes Realty,Bronx,10462.0,Southeast Bronx,-73.86211,40.8385018
4419,"739 E 89th StBrooklyn, NY 11236",Multi-family home ,1250000.0,6,3.0,3496.0, 5 Boro Realty Corp,Brooklyn,11236.0,Canarsie,-73.9073462,40.6405629
4420,"16 DE Koven CtBrooklyn, NY 11230",Townhouse ,2099000.0,5,4.0,3200.0, COMPASS,Brooklyn,11230.0,Borough Park,-73.9632363,40.6328573
4421,"320 E 42nd St Apt 3012Manhattan, NY 10017",Co-op ,560000.0,1,1.0,2184.207862, COMPASS,Manhattan,10017.0,Gramercy Park,-73.9717468,40.7494678
4422,"200 E 62nd St Apt 19ANew York, NY 10065",Condo ,3795000.0,3,3.0,1981.0, Corcoran,Manhattan,10065.0,Upper East Side,-73.9649721,40.7630942
4424,"2080-2090 Barnes Ave Unit 5BBronx, NY 10462",Co-op ,269500.0,2,1.0,2184.207862, Tudor Realty Services Corp. ,Bronx,10462.0,Southeast Bronx,-73.8636237,40.8531021
4426,"8 E 83rd St Units 11 & 12DManhattan, NY 10028",Co-op ,3275000.0,3,3.0,2184.207862, Brown Harris Stevens ,Manhattan,10028.0,Upper East Side,-73.961095,40.779101
4427,"31 E 72nd St Apt 3BNew York, NY 10021",Co-op ,3795000.0,3,3.0,2184.207862, Douglas Elliman ,Manhattan,10021.0,Upper East Side,-73.9650839,40.7719215
4428,"170 W 76th St # 302/402New York, NY 10023",Co-op ,4150000.0,5,4.0,2184.207862, Sotheby's International Realty ,Manhattan,10023.0,Upper East Side,-73.979261,40.7807845
